feature,importance
mileage,0.4671889613920003
brand_Ford,0.12433134734667159
brand_Mercedes,0.08152889640294902
year,0.05001550060463804
brand_Hyundai,0.04995082819581627
vehicle_age,0.0470974912401503
brand_BMW,0.031568117714103054
miles_per_year,0.026263421584887654
brand_Audi,0.021559506694949656
engineSize,0.02104169864802199
mpg,0.019051478746723013
brand_Skoda,0.01876944894782938
transmission_Semi-Auto,0.01204562720433437
transmission_Manual,0.007832940704148495
fuelType_Petrol,0.002486436705308335
